entry,name
45,Squire's Shirt
35,Bent Staff
56,Apprentice's Robe
44,Squire's Pants
194,Tattered Cloth Pants
48,Footpad's Pants
61,Dwarven Leather Pants
43,Squire's Boots
49,Footpad's Shirt
55,Apprentice's Boots
38,Recruit's Shirt
47,Footpad's Shoes
59,Acolyte's Shoes
57,Acolyte's Robe
37,Worn Axe
239,Cured Leather Gloves
53,Neophyte's Shirt
154,Primitive Mantle
25,Worn Shortsword
85,Dirty Leather Vest
40,Recruit's Boots
118,Minor Healing Potion
36,Worn Mace
51,Neophyte's Boots
182,Garrick's Head
52,Neophyte's Pants
121,Thug Boots
422,Dwarven Mild
201,Thick Cloth Pants
120,Thug Pants
159,Refreshing Spring Water
148,Rugged Trapper's Shirt
209,Dirty Leather Pants
555,Rough Vulture Feathers
139,Brawler's Pants
238,Cured Leather Boots
147,Rugged Trapper's Pants
193,Tattered Cloth Vest
39,Recruit's Pants
127,Trapper's Shirt
79,Dwarven Cloth Britches
727,Notched Shortsword
237,Cured Leather Pants
730,Murloc Eye
80,Soft Fur-lined Shoes
710,Bracers of the People's Militia
711,Tattered Cloth Gloves
195,Tattered Cloth Boots
728,Recipe: Westfall Stew
732,Okra
285,Scalemail Vest
153,Primitive Kilt
742,A Sycamore Branch
718,Scalemail Gloves
556,Buzzard Beak
724,Goretusk Liver Pie
731,Goretusk Snout
200,Thick Cloth Vest
729,Stringy Vulture Meat
287,Scalemail Boots
647,Destiny
750,Tough Wolf Meat
203,Thick Cloth Gloves
739,Sack of Corn
537,Dull Frenzy Scale
720,Brawler Gloves
140,Brawler's Boots
768,Lumberjack Axe
286,Scalemail Pants
733,Westfall Stew
719,Rabbit Handler Gloves
745,Marshal McBride's Documents
723,Goretusk Liver
738,Sack of Barley
769,Chunk of Boar Meat
236,Cured Leather Armor
117,Tough Jerky
770,Pointy Crocolisk Tooth
129,Rugged Trapper's Boots
210,Dirty Leather Boots
735,Rolf and Malakai's Medallions
763,Ice-covered Bracers
60,Layered Tunic
767,Long Bo Staff
755,Melted Candle
756,Tunnel Pick
714,Dirty Leather Gloves
737,Holy Spring Water
752,Red Burlap Bandana
753,Dragonmaw Shortsword
202,Thick Cloth Shoes
414,Dalaran Sharp
748,Stormwind Armor Marker
740,Sack of Rye
743,Bundle of Charred Oak
754,Shortsword of Vengeance
766,Flanged Mace
725,Gnoll Paw
744,Thunderbrew's Boot Flask
765,Silverleaf
771,Chipped Boar Tusk
791,Gnarled Ash Staff
787,Slitherskin Mackerel
789,Stout Battlehammer
773,Gold Dust
783,Light Hide
778,Kobold Excavation Pick
776,Vendetta
790,Forester's Axe
804,Large Blue Sack
772,Large Candle
779,Shiny Seashell
799,Rough Leather Vest
781,Stone Gnoll Hammer
793,Knitted Gloves
794,Knitted Pants
792,Knitted Sandals
795,Knitted Tunic
777,Prowler Teeth
785,Mageroyal
774,Malachite
797,Rough Leather Gloves
796,Rough Leather Boots
818,Tigerseye
798,Rough Leather Pants
780,Torn Murloc Fin
782,Painted Gnoll Armband
814,Flask of Oil
809,Bloodrazor
810,Hammer of the Northern Wind
813,Broken Cog
816,Small Hand Blade
812,Glowing Brightwood Staff
838,Heavy Weave Pants
811,Axe of the Deep Woods
826,Brutish Riverpaw Axe
828,Small Blue Pouch
827,Wicked Blackjack
835,Large Rope Net
805,Small Red Pouch
839,Heavy Weave Gloves
837,Heavy Weave Armor
832,Silver Defias Belt
820,Slicer Blade
833,Lifestone
829,Red Leather Bandana
843,Tanned Leather Boots
840,Heavy Weave Shoes
849,Chainmail Boots
844,Tanned Leather Gloves
851,Cutlass
847,Chainmail Armor
854,Quarter Staff
850,Chainmail Gloves
845,Tanned Leather Pants
846,Tanned Leather Jerkin
869,Dazzling Longsword
848,Chainmail Pants
860,Cavalier's Boots
859,Fine Cloth Shirt
853,Hatchet
852,Mace
870,Fiery War Axe
857,Large Red Sack
862,Runed Ring
858,Lesser Healing Potion
841,Furlbrow's Pocket Watch
856,Blue Leather Bag
864,Knightly Longsword
872,Rockslicer
868,Ardent Custodian
863,Gloom Reaper
865,Leaden Mace
821,Riverpaw Leather Vest
867,Gloves of Holy Might
866,Monk's Staff
887,Pound of Flesh
895,Worgen Skull
871,Flurry Axe
886,Black Metal Shortsword
910,An Undelivered Letter
880,Staff of Horrors
885,Black Metal Axe
896,Worgen Fang
873,Staff of Jordan
888,Naga Battle Gloves
911,Ironwood Treebranch
875,Brown Horse Summoning
876,Worn Wooden Buckler
889,A Dusty Unsent Letter
878,Fist-sized Spinneret
914,Large Ogre Chain Armor
884,Ghoul Rib
897,Madwolf Bracers
893,Dire Wolf Fang
890,Twisted Chanter's Staff
892,Gnoll Casting Gloves
915,Red Silk Bandana
899,Venom Web Fang
913,Huge Ogre Sword
922,Dacian Falx
928,Long Staff
918,Deviate Hide Pack
936,Midnight Mace
925,Flail
944,Elemental Mage Staff
939,A Bloodstained Journal Page
927,Double Axe
921,A Faded Journal Page
942,Freezing Band
929,Healing Potion
943,Warden Staff
954,Scroll of Strength
923,Longsword
935,Night Watch Shortsword
957,William's Shipment
926,Battle Axe
955,Scroll of Intellect
934,Stalvan's Reaper
1008,Well-used Sword
948,Nature Sword
933,Large Rucksack
1011,Sharp Axe
920,Wicked Spiked Mace
983,Red Linen Sash
1075,Shadowhide Pendant
1013,Iron Rivet
1083,Glyph of Azora
916,A Torn Journal Page
938,Muddy Journal Pages
1041,Horn of the Black Wolf
1113,Conjured Bread
932,Fel Steed Saddlebags
1076,Defias Renegade Ring
1017,Seasoned Wolf Kabob
1019,Red Linen Bandana
962,Pork Belly Pie
1074,Hard Spider Leg Tip
924,Maul
961,Healing Herb
1081,Crisp Spider Meat
1010,Gnarled Short Staff
1080,Tough Condor Meat
937,Black Duskwood Staff
940,Robes of Insight
1009,Compact Hammer
945,Shadow Sword
1077,Defias Mage Ring
1006,Brass Collar
1156,Lavishly Jeweled Ring
1158,Solid Metal Club
1168,Skullflame Shield
1129,Ghoul Fang
1116,Ring of Pure Silver
